timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,EWMA accel_x,EWMA accel_y,EWMA accel_z,EWMA gyro_x,EWMA gyro_y,EWMA gyro_z,EWMA mag_x,EWMA mag_y,EWMA mag_z
8.05E+12,-0.8831787,1.5082397,9.011398,-0.40220642,0.077041626,-0.19204712,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8.05E+12,-0.8596344,1.4969177,9.453842,0,0,0,0,0,0,-0.8831787,1.5082397,9.011398,-0.40220642,0.077041626,-0.19204712,0,0,0
8.05E+12,-0.83891296,1.5108337,9.847977,-0.39190674,-0.110809326,-0.12762451,0,0,0,-0.88082427,1.5071075,9.0556424,-0.361985778,0.069337463,-0.172842408,0,0,0
8.05E+12,-0.7720337,1.5320892,10.237396,-0.3499756,-0.206604,-0.09901428,0,0,0,-0.876633139,1.50748012,9.13487586,-0.364977874,0.051322784,-0.168320618,0,0,0
8.05E+12,-0.6839752,1.5334015,10.469177,-0.28562927,-0.30274963,-0.07376099,0,0,0,-0.866173195,1.509941028,9.245127874,-0.363477647,0.025530106,-0.161389984,0,0,0
8.05E+12,-0.5698395,1.5628967,10.542496,-0.20578003,-0.3798523,-0.051254272,17.042542,-22.981262,-46.696472,-0.847953396,1.512287075,9.367532787,-0.355692809,-0.007297868,-0.152627085,0,0,0
8.05E+12,-0.4427948,1.6008148,10.506271,-0.12515259,-0.4249115,-0.030838013,17.042542,-22.981262,-46.696472,-0.820142006,1.517348038,9.485029108,-0.340701531,-0.044553311,-0.142489804,1.7042542,-2.2981262,-4.6696472
8.05E+12,-0.29522705,1.6530457,10.525314,-0.05317688,-0.44158936,-0.01576233,17.042542,-22.981262,-46.696472,-0.782407285,1.525694714,9.587153297,-0.319146637,-0.08258913,-0.131324625,3.23808298,-4.36643978,-8.87232968
8.05E+12,-0.20280457,1.7217102,10.41246,1.53E-05,-0.43232727,-0.007354736,17.042542,-22.981262,-46.696472,-0.733689262,1.538429813,9.680969367,-0.292549661,-0.118489153,-0.119768395,4.618528882,-6.227922002,-12.65474391
8.05E+12,-0.18074036,1.7626495,10.265701,0.0332489,-0.39883423,-0.004882813,17.385864,-22.398376,-47.373962,-0.680600793,1.556757851,9.754118431,-0.263293169,-0.149872964,-0.108527029,5.860930194,-7.903256002,-16.05891672
