timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,EWMA accel_x,EWMA accel_y,EWMA accel_z,EWMA gyro_x,EWMA gyro_y,EWMA gyro_z,EWMA mag_x,EWMA mag_y,EWMA mag_z
4.71E+12,-1.0392914,1.8793793,8.739746,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4.71E+12,-1.1896515,1.9681702,8.929367,-0.20135498,0.23478699,-0.21360779,0,0,0,-1.0392914,1.8793793,8.739746,0,0,0,0,0,0
4.71E+12,-1.2612305,1.9304352,9.41069,-0.22703552,0.17553711,-0.19003296,0,0,0,-1.05432741,1.88825839,8.7587081,-0.020135498,0.023478699,-0.021360779,0,0,0
4.71E+12,-1.322586,1.8239899,9.995331,-0.24101257,0.10745239,-0.16567993,0,0,0,-1.075017719,1.892476071,8.82390629,-0.0408255,0.03868454,-0.038227997,0,0,0
4.71E+12,-1.4107513,1.7140198,10.620209,-0.23396301,0.03616333,-0.14207458,19.392395,6.4208984,-50.654602,-1.099774547,1.885627454,8.941048761,-0.060844207,0.045561325,-0.05097319,0,0,0
4.71E+12,-1.3833618,1.6423798,11.2276,-0.20166016,-0.04034424,-0.11618042,19.392395,6.4208984,-50.654602,-1.130872222,1.868466689,9.108964785,-0.078156087,0.044621526,-0.060083329,1.9392395,0.64208984,-5.0654602
4.71E+12,-1.209137,1.6149902,11.588974,-0.13928223,-0.10798645,-0.08534241,19.392395,6.4208984,-50.654602,-1.15612118,1.845858,9.320828306,-0.090506495,0.036124949,-0.065693038,3.68455505,1.219970696,-9.62437438
4.71E+12,-1.0046692,1.655365,11.582321,-0.055404663,-0.14978027,-0.053253174,19.392395,6.4208984,-50.654602,-1.161422762,1.82277122,9.547642876,-0.095384068,0.021713809,-0.067657976,5.255339045,1.740063466,-13.72739714
4.71E+12,-0.8788452,1.7333832,11.311905,0.043121338,-0.16062927,-0.022201538,19.522095,6.678772,-51.913452,-1.145747406,1.806030598,9.751110688,-0.091386128,0.004564401,-0.066217495,6.669044641,2.20814696,-17.42011763
4.71E+12,-0.8295288,1.8530426,10.973923,0.13877869,-0.13711548,0.002655029,19.522095,6.678772,-51.913452,-1.119057185,1.798765858,9.907190119,-0.077935381,-0.011954966,-0.0618159,7.954349676,2.655209464,-20.86945107
4.71E+12,-0.7411194,2.0161743,10.58963,0.21006775,-0.09069824,0.01927185,19.522095,6.678772,-51.913452,-1.090104347,1.804193532,10.01386341,-0.056263974,-0.024471017,-0.055368807,9.111124209,3.057565717,-23.97385116
4.71E+12,-0.6082916,2.1537933,10.2164,0.25735474,-0.027175903,0.03413391,19.522095,6.678772,-51.913452,-1.055205852,1.825391609,10.07144007,-0.029630802,-0.03109374,-0.047904741,10.15222129,3.419686346,-26.76781124
4.71E+12,-0.56085205,2.2372437,9.819687,0.27685547,0.049331665,0.047088623,19.638062,6.0943604,-49.97711,-1.010514427,1.858231778,10.08593606,-0.000932247,-0.030701956,-0.039700876,11.08920866,3.745594911,-29.28237532
4.71E+12,-0.6239166,2.330246,9.493698,0.27261353,0.12696838,0.055007935,19.638062,6.0943604,-49.97711,-0.965548189,1.89613297,10.05931115,0.026846524,-0.022698594,-0.031021926,11.94409399,3.98047146,-31.35184879
4.71E+12,-0.7113037,2.3342743,9.265778,0.25524902,0.19537354,0.057388306,19.638062,6.0943604,-49.97711,-0.93138503,1.939544273,10.00274984,0.051423225,-0.007731896,-0.02241894,12.71349079,4.191860354,-33.21437491
4.71E+12,-0.6900177,2.3409576,8.992447,0.233078,0.24017334,0.05419922,19.638062,6.0943604,-49.97711,-0.909376897,1.979017276,9.929052655,0.071805804,0.012578647,-0.014438215,13.40594791,4.382110359,-34.89064842
4.71E+12,-0.6861725,2.3958282,8.748306,0.21884155,0.25430298,0.051712036,20.518494,5.937195,-50.561523,-0.887440978,2.015211308,9.835392089,0.087933024,0.035338116,-0.007574472,14.02915932,4.553335363,-36.39929458
4.71E+12,-0.6981201,2.4538116,8.4713745,0.210495,0.23852539,0.050323486,20.518494,5.937195,-50.561523,-0.86731413,2.053272997,9.72668348,0.101023877,0.057234603,-0.001645821,14.67809279,4.691721326,-37.81551742
4.71E+12,-0.77160645,2.4292297,8.153641,0.21313477,0.19407654,0.048294067,20.518494,5.937195,-50.561523,-0.850394727,2.093326858,9.601152582,0.111970989,0.075363682,0.00355111,15.26213291,4.816268694,-39.09011798
4.71E+12,-0.8197174,2.4904633,7.794632,0.21939087,0.127182,0.045166016,20.518494,5.937195,-50.561523,-0.842515899,2.126917142,9.456401424,0.122087367,0.087234967,0.008025405,15.78776902,4.928361324,-40.23725848
4.71E+12,-0.88557434,2.5144196,7.5152893,0.22692871,0.04449463,0.0438385,20.895386,5.9921265,-51.24359,-0.840236049,2.163271758,9.290224482,0.131817717,0.091229671,0.011739466,16.26084152,5.029244692,-41.26968493
4.71E+12,-0.9069519,2.5999756,7.3792114,0.22857666,-0.04727173,0.047714233,20.895386,5.9921265,-51.24359,-0.844769878,2.198386542,9.112730964,0.141328817,0.086556167,0.01494937,16.72429597,5.125532873,-42.26707544
4.71E+12,-0.94389343,2.6549377,7.2689056,0.22013855,-0.13380432,0.054626465,20.895386,5.9921265,-51.24359,-0.85098808,2.238545448,8.939379007,0.150053601,0.073173377,0.018225856,17.14140497,5.212192236,-43.16472689
4.71E+12,-0.8948517,2.7442322,7.328171,0.19616699,-0.21907043,0.06588745,20.895386,5.9921265,-51.24359,-0.860278615,2.280184673,8.772331666,0.157062096,0.052475607,0.021865917,17.51680307,5.290185662,-43.9726132
4.71E+12,-0.8430481,2.7594757,7.6235046,0.15708923,-0.28308105,0.08111572,19.360352,6.7581177,-50.24414,-0.863735924,2.326589426,8.6279156,0.160972585,0.025321004,0.02626807,17.85466137,5.360379746,-44.69971088
4.71E+12,-0.7442932,2.8121033,7.8940125,0.10812378,-0.32965088,0.094192505,19.360352,6.7581177,-50.24414,-0.861667141,2.369878053,8.5274745,0.16058425,-0.005519202,0.031752835,18.00523043,5.500153541,-45.2541538
4.71E+12,-0.67674255,2.8379364,8.168396,0.0592041,-0.3640747,0.1081543,19.360352,6.7581177,-50.24414,-0.849929747,2.414100578,8.4641283,0.155338203,-0.03793237,0.037996802,18.14074259,5.625949957,-45.75315242
4.71E+12,-0.65200806,2.8126068,8.598846,0.018585205,-0.38417053,0.11567688,18.190002,5.0872803,-50.531006,-0.832611028,2.45648416,8.43455507,0.145724792,-0.070546603,0.045012552,18.26270353,5.739166731,-46.20225117
4.71E+12,-0.63442993,2.7051697,8.907166,-0.010742188,-0.39523315,0.12173462,18.190002,5.0872803,-50.531006,-0.814550731,2.492096424,8.450984163,0.133010834,-0.101908995,0.052078985,18.25543337,5.673978088,-46.63512666
4.71E+12,-0.52601624,2.6207123,9.101822,-0.03236389,-0.39227295,0.1257019,18.190002,5.0872803,-50.531006,-0.796538651,2.513403752,8.496602347,0.118635532,-0.131241411,0.059044548,18.24889024,5.615308309,-47.02471459
4.71E+12,-0.37876892,2.6653748,9.140457,-0.04598999,-0.3713684,0.1335907,18.190002,5.0872803,-50.531006,-0.76948641,2.524134606,8.557124312,0.103535589,-0.157344565,0.065710284,18.24300141,5.562505508,-47.37534373
4.71E+12,-0.26315308,2.739441,9.14798,-0.05583191,-0.33035278,0.14312744,17.977905,4.446411,-50.74005,-0.730414661,2.538258626,8.615457581,0.088583031,-0.178746948,0.072498325,18.23770147,5.514982988,-47.69090996
4.71E+12,-0.066711426,2.8613281,9.090851,-0.066604614,-0.27201843,0.15022278,17.977905,4.446411,-50.74005,-0.683688503,2.558376863,8.668709823,0.074141537,-0.193907531,0.079561237,18.21172183,5.408125789,-47.99582396
4.71E+12,0.05886841,2.9611511,9.061707,-0.08239746,-0.20796204,0.15299988,17.977905,4.446411,-50.74005,-0.621990795,2.588671987,8.71092394,0.060066922,-0.201718621,0.086627391,18.18834014,5.31195431,-48.27024657
4.71E+12,0.2548828,3.0224304,9.052124,-0.10151672,-0.14916992,0.14805603,17.977905,4.446411,-50.74005,-0.553904874,2.625919898,8.746002246,0.045820484,-0.202342963,0.09326464,18.16729663,5.225399979,-48.51722691
4.71E+12,0.40423584,3.0382233,9.056976,-0.12388611,-0.09512329,0.13586426,19.08722,5.555725,-51.01013,-0.473026107,2.665570948,8.776614422,0.031086764,-0.197025659,0.098743779,18.14835747,5.147501081,-48.73950922
4.71E+12,0.55659485,3.0677185,9.064514,-0.13505554,-0.06352234,0.117614746,19.08722,5.555725,-51.01013,-0.385299912,2.702836184,8.80465058,0.015589476,-0.186835422,0.102455827,18.24224372,5.188323473,-48.9665713
4.71E+12,0.73117065,3.1360474,9.061813,-0.13395691,-0.0541687,0.09472656,19.08722,5.555725,-51.01013,-0.291110436,2.739324415,8.830636922,0.000524975,-0.174504114,0.103971719,18.32674135,5.225063626,-49.17092717
4.71E+12,0.80326843,3.120163,9.026474,-0.12121582,-0.06460571,0.06437683,19.08722,5.555725,-51.01013,-0.188882327,2.778996714,8.853754529,-0.012923214,-0.162470572,0.103047203,18.40278921,5.258129763,-49.35484745
4.71E+12,0.820755,3.0730286,8.886795,-0.101745605,-0.08598328,0.029678345,19.070435,4.1412354,-50.801086,-0.089667252,2.813113342,8.871026476,-0.023752474,-0.152684086,0.099180166,18.47123229,5.287889287,-49.52037571
4.71E+12,0.79797363,3.052353,8.723465,-0.08073425,-0.11427307,-0.006256104,19.070435,4.1412354,-50.801086,0.001374973,2.839104868,8.872603329,-0.031551788,-0.146014006,0.092229984,18.53115256,5.173223898,-49.64844674
4.71E+12,0.716629,2.9994354,8.611862,-0.05973816,-0.14755249,-0.045715332,19.070435,4.1412354,-50.801086,0.081034839,2.860429681,8.857689496,-0.036470034,-0.142839912,0.082381375,18.58508081,5.070025048,-49.76371066
4.71E+12,0.61650085,2.9361572,8.479919,-0.05104065,-0.17152405,-0.08305359,19.070435,4.1412354,-50.801086,0.144594255,2.874330253,8.833106746,-0.038796846,-0.14331117,0.069571704,18.63361623,4.977146083,-49.8674482
4.71E+12,0.49969482,2.8843231,8.456467,-0.05342102,-0.18746948,-0.11778259,19.007874,3.7597656,-50.74005,0.191784915,2.880512948,8.797787972,-0.040021227,-0.146132458,0.054309175,18.6772981,4.893555015,-49.96081198
4.71E+12,0.46733093,2.8624725,8.575516,-0.06843567,-0.19488525,-0.14820862,19.007874,3.7597656,-50.74005,0.222575905,2.880893963,8.763655875,-0.041361206,-0.15026616,0.037099998,18.71035569,4.780176074,-50.03873578
4.71E+12,0.47044373,2.8260803,8.722534,-0.09213257,-0.19056702,-0.17198181,19.007874,3.7597656,-50.74005,0.247051408,2.879051817,8.744841887,-0.044068652,-0.154728069,0.018569136,18.74010752,4.678135026,-50.1088672
4.71E+12,0.4972992,2.7116394,8.822815,-0.12080383,-0.17045593,-0.18972778,19.007874,3.7597656,-50.74005,0.26939064,2.873754665,8.742611098,-0.048875044,-0.158311964,-0.000485958,18.76688417,4.586298084,-50.17198548
4.71E+12,0.5164032,2.6366577,8.848236,-0.1503601,-0.13168335,-0.20240784,18.556213,5.407715,-50.886536,0.292181496,2.857543139,8.750631489,-0.056067923,-0.159526361,-0.01941014,18.79098315,4.503644835,-50.22879193
4.71E+12,0.47373962,2.5932465,8.86557,-0.17874146,-0.08087158,-0.2111206,18.556213,5.407715,-50.886536,0.314603666,2.835454595,8.76039194,-0.065497141,-0.15674206,-0.03770991,18.76750614,4.594051852,-50.29456634
4.71E+12,0.40116882,2.5640717,8.848679,-0.20489502,-0.018814087,-0.21705627,18.556213,5.407715,-50.886536,0.330517262,2.811233785,8.770909746,-0.076821572,-0.149155012,-0.055050979,18.74637682,4.675418167,-50.35376331
4.71E+12,0.28829956,2.5197906,8.84581,-0.23008728,0.04963684,-0.21961975,18.556213,5.407715,-50.886536,0.337582418,2.786517577,8.778686671,-0.089628917,-0.136120919,-0.071251508,18.72736044,4.74864785,-50.40704057
